uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,193.753070831,surprised,18,-2.0,"[1.0, 0.0, 1.0, 0.8122650172527911, 0.6297288955239144, 0.6442882821097073, 0.0, 0.3136546094618151, 0.6500024607239325, 0.2502789165813556, 0.8108578320774035]",0
3001,abstract,1,194.589309931,surprised,19,-2.0,"[1.0, 0.0, 1.0, 0.8744165419451909, 0.8495932641694148, 0.5055129609038388, 0.0, 0.0985057848757876, 0.6527956149104157, 0.4577775190350349, 0.5311880669148594]",0
3001,abstract,1,195.111537933,surprised,20,-2.0,"[0.8624636845486126, 0.04602616928085987, 0.7112347002763602, 1.0, 0.761488176351345, 0.5148105693978325, 0.0, 0.0, 0.2316424528308645, 0.3170438629900746, 0.9538758901973123]",0
3001,abstract,1,196.260200977,surprised,21,-2.0,"[1.0, 0.0, 1.0, 0.8744165419451909, 0.8495932641694148, 0.5055129609038388, 0.0, 0.0985057848757876, 0.6527956149104157, 0.4577775190350349, 0.5311880669148594]",0
3001,abstract,1,196.991360903,surprised,22,-2.0,"[0.9633292520165894, 0.1343297060603477, 0.7413045800381781, 1.0, 0.6799064513571476, 0.2523251970883872, 0.10741054173611585, 0.0, 0.24001956140057823, 0.40228583900976944, 0.4224233913504342]",0
3001,abstract,1,197.091259003,surprised,23,-2.0,"[1.0, 0.0, 1.0, 0.8122650172527911, 0.6297288955239144, 0.6442882821097073, 0.0, 0.3136546094618151, 0.6500024607239325, 0.2502789165813556, 0.8108578320774035]",0
3001,abstract,1,198.24511981,surprised,24,-2.0,"[1.0, 0.0, 1.0, 0.8122650172527911, 0.6297288955239144, 0.6442882821097073, 0.0, 0.3136546094618151, 0.6500024607239325, 0.2502789165813556, 0.8108578320774035]",0
3001,abstract,1,198.384783983,surprised,25,-2.0,"[1.0, 0.0, 1.0, 0.8744165419451909, 0.8495932641694148, 0.5055129609038388, 0.0, 0.0985057848757876, 0.6527956149104157, 0.4577775190350349, 0.5311880669148594]",0
3001,abstract,1,198.766882896,surprised,26,-2.0,"[0.8624636845486126, 0.04602616928085987, 0.7112347002763602, 1.0, 0.761488176351345, 0.5148105693978325, 0.0, 0.0, 0.2316424528308645, 0.3170438629900746, 0.9538758901973123]",0
3001,abstract,1,200.229682922,surprised,27,-2.0,"[0.8624636845486126, 0.04602616928085987, 0.7112347002763602, 1.0, 0.761488176351345, 0.5148105693978325, 0.0, 0.0, 0.2316424528308645, 0.3170438629900746, 0.9538758901973123]",0
3001,abstract,1,219.05573678,surprised,28,-0.28,"[0.8624636845486126, 0.04602616928085987, 0.7112347002763602, 1.0, 0.761488176351345, 0.5148105693978325, 0.0, 0.0, 0.2316424528308645, 0.3170438629900746, 0.9538758901973123]",0
3001,abstract,1,220.701351881,surprised,29,-0.48,"[0.0, 0.0, 1.0, 1.0, 0.20252816280500507, 0.0, 0.0, 1.0, 0.9145897606440605, 0.39176041384113813, 1.0]",0
3001,abstract,1,222.790700912,surprised,30,-0.48,"[0.0, 0.8852998673120501, 0.04237967322771341, 1.0, 0.887447816751934, 1.0, 0.0, 0.0, 0.5876109034801758, 0.3366000776390157, 1.0]",0
3001,abstract,1,222.791148901,surprised,31,-0.48,"[0.6967804754703429, 0.20370002647998664, 1.0, 0.3931445606573539, 0.16539295699698398, 0.3410610975331289, 0.0, 0.0, 0.0, 0.46743004587034936, 0.0908264665177193]",0
3001,abstract,1,222.791507959,surprised,32,-0.48,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.3934728027060575, 0.0, 0.0, 0.12577542334007655, 1.0]",0
3001,abstract,1,225.072862864,surprised,33,-0.48,"[0.6967804754703429, 0.20370002647998664, 1.0, 0.3931445606573539, 0.16539295699698398, 0.3410610975331289, 0.0, 0.0, 0.0, 0.46743004587034936, 0.0908264665177193]",0
3001,abstract,1,225.912115812,surprised,34,-0.48,"[0.0, 0.8852998673120501, 0.04237967322771341, 1.0, 0.887447816751934, 1.0, 0.0, 0.0, 0.5876109034801758, 0.3366000776390157, 1.0]",0
3001,abstract,1,226.704733849,surprised,35,-0.48,"[0.0, 0.0, 1.0, 1.0, 0.20252816280500507, 0.0, 0.0, 1.0, 0.9145897606440605, 0.39176041384113813, 1.0]",0
3001,abstract,1,227.491098881,surprised,36,-0.48,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.3934728027060575, 0.0, 0.0, 0.12577542334007655, 1.0]",0
3001,abstract,1,228.43066287,surprised,37,-0.48,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.3934728027060575, 0.0, 0.0, 0.12577542334007655, 1.0]",0
3001,abstract,1,241.718719006,surprised,38,-0.68,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.3934728027060575, 0.0, 0.0, 0.12577542334007655, 1.0]",0
3001,abstract,1,243.784566879,surprised,39,-0.68,"[1.0, 0.0, 1.0, 0.20508824291624717, 0.7629084045937482, 0.11465136725662649, 1.0, 0.0, 0.0, 0.08516676548998732, 1.0]",0
3001,abstract,1,244.411625862,surprised,40,-0.68,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.34739477803830177, 0.0, 0.0, 0.0, 0.32464585367185017, 1.0]",0
3001,abstract,1,245.978312969,surprised,41,-0.68,"[0.495594304881649, 0.0, 0.0, 0.7742894926548175, 1.0, 0.7752528034025887, 0.0, 0.7443075257810082, 0.0, 0.0, 0.41521272046560354]",0
3001,abstract,1,290.43163991,surprised,42,-0.68,"[0.495594304881649, 0.0, 0.0, 0.7742894926548175, 1.0, 0.7752528034025887, 0.0, 0.7443075257810082, 0.0, 0.0, 0.41521272046560354]",0
3001,abstract,1,291.622746944,surprised,43,-0.88,"[0.495594304881649, 0.0, 0.0, 0.7742894926548175, 1.0, 0.7752528034025887, 0.0, 0.7443075257810082, 0.0, 0.0, 0.41521272046560354]",0
3001,abstract,1,292.353925943,surprised,44,-1.08,"[0.0, 0.0, 0.0, 0.7344221069443786, 1.0, 0.9661257917717467, 0.0, 0.7313649618455936, 0.4552704112382772, 0.08427085961589968, 0.0]",0
3001,abstract,1,293.048474789,surprised,45,-1.08,"[0.495594304881649, 0.0, 0.0, 0.7742894926548175, 1.0, 0.7752528034025887, 0.0, 0.7443075257810082, 0.0, 0.0, 0.41521272046560354]",0
3001,abstract,1,294.965693951,surprised,46,-1.08,"[0.495594304881649, 0.0, 0.0, 0.7742894926548175, 1.0, 0.7752528034025887, 0.0, 0.7443075257810082, 0.0, 0.0, 0.41521272046560354]",0
3001,abstract,1,301.232564926,surprised,47,-1.08,"[0.495594304881649, 0.0, 0.0, 0.7742894926548175, 1.0, 0.7752528034025887, 0.0, 0.7443075257810082, 0.0, 0.0, 0.41521272046560354]",1
3001,abstract,1,305.514647007,angry,1,-1.08,"[0.5803777789349117, 0.16646998474862407, 0.4717009062050225, 0.2985107787233343, 0.7594052967851284, 0.0, 0.0, 0.20528154004910731, 0.0, 0.5144043620659823, 0.5119270235649298]",0
3001,abstract,1,306.350626945,angry,2,-1.08,"[0.6381988765367154, 0.3111809044672891, 0.5769993007225976, 0.3906827302603211, 1.0, 0.0, 0.0826055776138898, 0.0, 0.0, 0.8122097194845834, 0.45325546114864235]",0
3001,abstract,1,306.35134387,angry,3,-1.08,"[0.4209042569224677, 0.2296228397469633, 0.645415915100258, 1.0, 0.165607334901828, 0.024875010391817737, 0.006338986765942668, 0.0, 0.0, 0.7017543624506923, 0.1504273762451857]",0
3001,abstract,1,306.768055916,angry,4,-1.08,"[0.6381988765367154, 0.3111809044672891, 0.5769993007225976, 0.3906827302603211, 1.0, 0.0, 0.0826055776138898, 0.0, 0.0, 0.8122097194845834, 0.45325546114864235]",0
3001,abstract,1,311.155110836,angry,5,-1.08,"[0.6381988765367154, 0.3111809044672891, 0.5769993007225976, 0.3906827302603211, 1.0, 0.0, 0.0826055776138898, 0.0, 0.0, 0.8122097194845834, 0.45325546114864235]",1
3001,abstract,1,312.304430008,afraid,1,-1.08,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,313.662514925,disgusted,1,-1.08,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,316.335310936,sad,1,-1.08,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,319.895137787,calm,1,-1.08,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,373.825442791,neutral,1,-1.08,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
